,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
302,Sing Buri,100,TH,2019-06-27,84,14.89,100.4,79.0,7.99
303,Bacolod,100,PH,2019-06-27,79,10.68,122.95,81.77,13.35
304,Kavieng,100,PG,2019-06-27,76,-2.57,150.8,85.01,18.52
305,Menzelinsk,75,RU,2019-06-27,81,55.73,53.11,53.6,4.47
306,Invermere,100,CA,2019-06-27,89,50.51,-116.03,57.99,3.0
307,Stawell,3,AU,2019-06-27,94,-37.06,142.77,43.79,4.9
308,Nouadhibou,0,MR,2019-06-27,68,20.93,-17.03,71.6,24.16
309,Alice Springs,0,AU,2019-06-27,59,-23.7,133.88,37.4,5.82
310,Srednekolymsk,100,RU,2019-06-27,50,67.46,153.71,50.63,15.46
311,Ilebo,98,CD,2019-06-27,61,-4.33,20.59,74.75,2.3
312,Boffa,68,GN,2019-06-27,85,10.18,-14.04,80.33,9.19
313,Fort Nelson,90,CA,2019-06-27,76,58.81,-122.69,53.6,2.24
314,Dicabisagan,92,PH,2019-06-27,97,17.08,122.42,74.03,1.83
315,Batsfjord,20,NO,2019-06-27,79,70.63,29.72,43.34,14.99
316,Margate,0,AU,2019-06-27,61,-43.03,147.26,50.47,3.36
317,Chimbote,0,PE,2019-06-27,90,-9.08,-78.59,63.05,13.13
318,San Carlos de Bariloche,90,AR,2019-06-27,93,-41.13,-71.31,37.4,13.87
319,Siavonga,41,ZW,2019-06-27,60,-16.54,28.71,65.21,3.85
320,Ciudad Guayana,46,VE,2019-06-27,59,8.32,-62.69,90.0,5.01
321,Talnakh,75,RU,2019-06-27,75,69.49,88.39,46.4,11.18
322,Alamos,97,AR,2019-06-27,63,-36.9,-62.36,47.93,6.29
323,Heze,100,CN,2019-06-27,84,35.25,115.45,73.13,8.12
324,Alushta,0,UA,2019-06-27,53,44.68,34.41,65.03,6.96
325,Sovetsk,0,RU,2019-06-27,69,55.08,21.89,55.31,8.75
326,Le Port,0,FR,2019-06-27,65,42.87,1.37,81.99,5.01
327,Antalaha,11,MG,2019-06-27,97,-14.9,50.28,65.75,4.34
328,Leshukonskoye,100,RU,2019-06-27,66,64.9,45.76,51.17,4.47
329,Atocha,0,AR,2019-06-27,28,-24.82,-65.48,67.77,5.82
330,Shubarshi,2,KZ,2019-06-27,50,48.59,57.19,64.49,6.08
331,Mastic,1,US,2019-06-27,61,40.8,-72.84,86.04,9.17
332,Slave Lake,90,CA,2019-06-27,52,55.28,-114.77,69.8,6.93
333,Jiayuguan,0,CN,2019-06-27,39,39.77,98.29,64.13,11.77
334,Kandiari,0,PK,2019-06-27,46,26.92,68.52,92.57,14.83
335,Were Ilu,22,ET,2019-06-27,35,10.6,39.43,67.73,5.17
336,Ambovombe,3,MG,2019-06-27,81,-25.18,46.09,73.49,29.59
337,Yeppoon,90,AU,2019-06-27,82,-23.13,150.74,60.8,8.05
338,Udachnyy,75,RU,2019-06-27,72,66.42,112.4,60.8,8.95
339,Murgab,40,TM,2019-06-27,27,37.5,61.97,86.0,9.17
340,Pauini,55,BR,2019-06-27,58,-7.71,-67.0,87.71,0.38
341,Belaya Gora,2,RU,2019-06-27,34,68.54,146.19,62.87,8.43
342,Namatanai,91,PG,2019-06-27,85,-3.66,152.44,78.71,9.95
343,Powder Springs,75,US,2019-06-27,45,33.86,-84.68,87.44,8.05
344,Mandurah,75,AU,2019-06-27,100,-32.55,115.7,44.76,4.7
345,Svobodnyy,100,RU,2019-06-27,100,53.85,40.53,64.0,1.99
346,Alvaraes,40,BR,2019-06-27,66,-3.22,-64.8,87.8,5.82
347,Flinders,6,AU,2019-06-27,100,-34.58,150.85,48.38,5.82
348,Dolores Hidalgo,75,MX,2019-06-27,28,21.16,-100.93,79.36,5.82
349,Beloha,5,MG,2019-06-27,86,-25.17,45.06,67.55,11.5
350,Cabedelo,40,BR,2019-06-27,69,-6.97,-34.84,80.6,17.22
